村庄,玩家,种族,联盟,居民,(x:y):id,距离
魔域メ东方☆国度,VIP叶知秋,罗马人,魔域东南新一团,304,[30:-43]:355274,10.295630
酷酷龙的村庄,酷酷龙,高卢人,,2,[30:-40]:352871,7.810250
独孤求胜~~,大大人物_1314,罗马人,,60,[29:-41]:353671,9.219544
酷樂牛的村庄,酷樂牛,日尔曼人,,3,[25:-26]:341652,12.806248
飞13℃,飞13℃,高卢人,,16,[28:-30]:344859,8.062258
将军楼,将军,罗马人,猫熊共和国ＧＦ,103,[28:-40]:352869,9.219544
凌云阁,凌云阁,罗马人,,179,[27:-25]:340853,12.041595
红胡子的村庄,红胡子,日尔曼人,,184,[36:-42]:354479,8.062258
天狼星,大犬座,高卢人,,65,[36:-40]:352877,6.082763
♂星空♂的村庄,♂星星♂,高卢人,,131,[31:-27]:342459,8.062258
温柔乡12,百隆门88,日尔曼人,,69,[26:-34]:348061,9.000000
hj的村庄,hj,高卢人,,2,[27:-35]:348863,8.062258
狼王的村庄,狼王,罗马人,,3,[27:-37]:350465,8.544004
繁荣大师的村庄,繁荣大师,罗马人,,2,[27:-31]:345659,8.544004
幻影之村,o0幻影0o,罗马人,,11,[29:-36]:349666,6.324555
摩天轮[#0],海顿圣骑士,高卢人,,42,[29:-35]:348865,6.082763
轻舞飞扬,冰轻飞舞,高卢人,,30,[29:-33]:347263,6.082763
魔域-幻想国都,天堂使者,罗马人,魔域东南独立团,270,[32:-31]:345664,4.242641
疯狂村,疯狂,罗马人,,252,[33:-37]:350471,3.605551
皇家主人的村庄,皇家主人,罗马人,,4,[34:-34]:348069,1.000000
灶王庄,灶君,罗马人,魔域东南独立团,344,[35:-34]:348070,0.000000
魔域布拉格之都,贝克汉父,罗马人,魔域东南新一团,276,[36:-37]:350474,3.162278
bum的村庄,bum,罗马人,,5,[34:-33]:347268,1.414214
飞翔村庄,飞翔,罗马人,,244,[29:-37]:350467,6.708204
龍舌驕子的村庄,骄子,日尔曼人,,61,[36:-33]:347270,1.414214
龙之飞翼,飞翼,日尔曼人,,41,[34:-31]:345666,3.162278
小飞机,小小发发,日尔曼人,,64,[29:-28]:343258,8.485281
大双会,大双会,罗马人,,133,[37:-36]:349674,2.828427
黑土地村,o0蛋蛋0o,罗马人,,9,[32:-26]:341659,8.544004
清风之城,小胖子,罗马人,魔域东南独立团,294,[35:-27]:342463,7.000000
王者之城,小宝,日尔曼人,魔域帝国主盟,99,[36:-30]:344867,4.123106
魔域—MHQ,MHQ,高卢人,魔域东南新一团,298,[37:-27]:342465,7.280110
海豚湾,天使DE紫依,罗马人,,16,[35:-25]:340861,9.000000
逍遥王骏哥[#0],逍遥王骏哥,罗马人,,204,[39:-43]:355283,9.848858
魔域→图腾部落,原始图腾,罗马人,魔域东南独立团,239,[44:-39]:352084,10.295630
疯狼的村庄,疯狼,罗马人,,4,[37:-24]:340062,10.198039
魔域*星际,一亩三分地,罗马人,魔域东南新一团,59,[40:-30]:344871,6.403124
克隆的神的村庄,克隆的神,罗马人,,4,[40:-28]:343269,7.810250
可儿的村庄,可儿,罗马人,,2,[41:-27]:342469,9.219544
中华人民共和国的村庄,只爱双飞,罗马人,,138,[41:-24]:340066,11.661904
魔域*星源,一亩三分地,罗马人,魔域东南新一团,313,[40:-29]:344070,7.071068
小宝,小宝,日尔曼人,魔域帝国主盟,480,[44:-27]:342472,11.401754
fudaneducn2008,fudaneducn2008,罗马人,,60,[43:-24]:340068,12.806248
魔域快乐的家,土豆,罗马人,魔域东南新二团,159,[45:-26]:341672,12.806248
水立方,4427000,罗马人,,63,[39:-30]:344870,5.656854
白石州,海边,罗马人,魔域东南独立团,369,[40:-36]:349677,5.385165
大冲村,海边,罗马人,魔域东南独立团,203,[44:-37]:350482,9.486833
鸟巢,神气猪,罗马人,,97,[44:-33]:347278,9.055385
