¿œ Û,÷©÷Î,“∞÷Ì,…ﬂ,Ú˘Ú,¿«,–‹,ˆ˘”„,¿œª¢,¥ÛœÛ,◊‹ ˝,¬Ã÷ﬁ¿‡–Õ,(x:y):id,æ‡¿Î
44,22,,,21,,,,,,87,7,[31:-28]:343260,7.211103
,,67,,,68,36,,,,171,3,[27:-30]:344858,8.944272
69,,,52,,,42,,22,,185,11,[27:-26]:341654,11.313708
101,,,67,,,,35,28,,231,12,[36:-43]:355280,9.055385
61,35,20,,,,,,,,116,4,[34:-39]:352074,5.099020
,,74,,,62,40,,,,176,2,[34:-44]:356079,10.049876
,,55,,,45,30,,,,130,1,[37:-44]:356082,10.198039
,,34,,,33,22,,,,89,2,[37:-40]:352878,6.324555
39,,,26,,,12,,10,,87,10,[29:-27]:342457,9.219544
45,,,31,,,,31,14,,121,12,[38:-42]:354481,8.544004
,,57,,,52,29,,,,138,1,[28:-32]:346461,7.280110
114,56,,,52,,,,,,222,9,[26:-31]:345658,9.486833
69,,,49,,,,40,18,,176,12,[28:-37]:350466,7.615773
76,43,,,36,,,,,,155,7,[31:-33]:347265,4.123106
48,,,31,,,,25,17,,121,12,[32:-34]:348067,3.000000
,,39,,,39,24,,,,102,2,[32:-33]:347266,3.162278
122,62,,,52,,,,,,236,9,[34:-36]:349671,2.236068
,,34,,,27,19,,,,80,2,[34:-32]:346467,2.236068
52,39,18,,,,,,,,109,4,[36:-35]:348872,1.414214
63,,,50,,,,32,16,,161,12,[37:-31]:345669,3.605551
,,48,,,43,27,,,,118,2,[37:-35]:348873,2.236068
78,33,,,30,,,,,,141,7,[33:-32]:346466,2.828427
,,35,,,33,21,,,,89,3,[26:-38]:351265,9.848858
,,43,,,36,28,,,,107,2,[38:-35]:348874,3.162278
,,68,,,73,42,,,,183,3,[30:-41]:353672,8.602325
62,,,36,,,31,,16,,145,11,[30:-39]:352070,7.071068
45,25,,,28,,,,,,98,7,[33:-24]:340058,10.198039
45,29,14,,,,,,,,88,5,[30:-44]:356075,11.180340
,,60,,,52,31,,,,143,1,[30:-42]:354473,9.433981
,,34,,,29,20,,,,83,3,[42:-43]:355286,11.401754
84,61,29,,,,,,,,174,5,[43:-43]:355287,12.041595
42,,,25,,,,22,14,,103,12,[43:-38]:351282,8.944272
,,53,,,32,17,,,,102,1,[44:-44]:356089,13.453624
,,37,,,40,23,,,,100,2,[44:-43]:355288,12.727922
80,56,30,,,,,,,,166,4,[45:-44]:356090,14.142136
84,51,27,,,,,,,,162,6,[44:-38]:351283,9.848858
,,64,,,48,30,,,,142,2,[39:-29]:344069,6.403124
40,,,38,,,16,,13,,107,11,[39:-27]:342467,8.062258
29,,,32,,,9,,10,,80,11,[43:-40]:352884,10.000000
55,27,,,22,,,,,,104,7,[39:-26]:341666,8.944272
59,42,24,,,,,,,,125,4,[45:-30]:344876,10.770330
,,23,,,17,11,,,,51,1,[39:-33]:347273,4.123106
51,36,17,,,,,,,,104,5,[40:-31]:345672,5.830952
,,34,,,25,19,,,,78,1,[43:-33]:347277,8.062258
24,10,,,6,,,,,,40,9,[41:-36]:349678,6.324555
72,30,,,33,,,,,,135,8,[42:-28]:343271,9.219544
45,,,38,,,21,,20,,124,11,[42:-34]:348077,7.000000
